n_components,estimator,axis,fit_fwhm_mm,fit_sigma_mm,fit_mu_mm,mean_abs_error_mm,population_std_mm,low_uncertainty_rmse_mm,low_uncertainty_fit_fwhm_mm,low_uncertainty_population_std_mm,low_uncertainty_selected_fraction,fit_ok,low_uncertainty_fit_ok,mean_3d_error_mm,median_3d_error_mm,p68_3d_error_mm
1,mean,x,1.5909870524822702,0.6755783662345096,0.008969447587296371,0.8491912498477404,1.3960573692904414,0.5908925528050227,1.0888956271504593,0.5908689073110788,0.5,True,True,2.2150390532225828,1.7269923729009746,2.4499392583018498
4,mean,x,1.7035860754764012,0.723391114851975,-0.08894708443416803,0.842435433685713,1.3698950191258303,0.5856013916815824,1.0511673648394182,0.5823470479707358,0.5,True,True,2.1094837391511287,1.6009810586279163,2.3080857530709102
8,mean,x,1.6218656246195369,0.6886902864626484,0.01845414308375171,0.8199307296439567,1.32703034509025,0.5789619409637691,1.090863570274211,0.5789621630958453,0.5,True,True,2.06912140504224,1.5557566695049014,2.2564662978986534
16,mean,x,1.5873519494830137,0.6740347980819591,0.07515048170339123,0.8316473791409896,1.352086741388564,0.5769433100528795,1.0379678055812698,0.5747119644122339,0.5,True,True,2.0492627249664834,1.5396734058090153,2.2620839357268148
1,median,x,1.5909870524822702,0.6755783662345096,0.008969447587296371,0.8491912498477404,1.3960573692904414,0.5908925528050227,1.0888956271504593,0.5908689073110788,0.5,True,True,2.21503905322272,1.726992372914271,2.449939258315225
4,median,x,1.7035860754764012,0.723391114851975,-0.08894708443416803,0.842435433685713,1.3698950191258303,0.5856013916815824,1.0511673648394182,0.5823470479707358,0.5,True,True,2.101366666991099,1.5664058668204548,2.2837982368276455
8,median,x,1.6218656246195369,0.6886902864626484,0.01845414308375171,0.8199307296439567,1.32703034509025,0.5789619409637691,1.090863570274211,0.5789621630958453,0.5,True,True,2.0593815171935663,1.5169467086141433,2.2288831655415193
16,median,x,1.5873519494830137,0.6740347980819591,0.07515048170339123,0.8316473791409896,1.352086741388564,0.5769433100528795,1.0379678055812698,0.5747119644122339,0.5,True,True,2.0287945363220494,1.4868101231754731,2.2115904164917985
1,mode,x,1.5909870524822702,0.6755783662345096,0.008969447587296371,0.8491912498477404,1.3960573692904414,0.5908925528050227,1.0888956271504593,0.5908689073110788,0.5,True,True,2.2145407334167975,1.7262314489736859,2.4494241837987962
4,mode,x,1.7035860754764012,0.723391114851975,-0.08894708443416803,0.842435433685713,1.3698950191258303,0.5856013916815824,1.0511673648394182,0.5823470479707358,0.5,True,True,2.165857871002509,1.5840946050472366,2.3395332029155105
8,mode,x,1.6218656246195369,0.6886902864626484,0.01845414308375171,0.8199307296439567,1.32703034509025,0.5789619409637691,1.090863570274211,0.5789621630958453,0.5,True,True,2.1440651146948113,1.5418852970579606,2.3124773971161443
